State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights
Tripura,Rainy,High,11077,"Train: 1186 INR, Flight: 6932 INR",Local Cuisine: 1700 INR per day,3-star: 2695 INR per night,"Ujjayanta Palace, Neermahal",Boating,Moderate,4.5/5,Winter,"Bengali, Kokborok",Very Safe,No,Art Exhibitions
Manipur,Pleasant,High,44149,"Train: 691 INR, Car Rental: 2954 INR",Local Cuisine: 1737 INR per day,Homestay: 1655 INR per night,"Loktak Lake, Kangla Fort",Trekking,High,4.9/5,Monsoon,Manipuri,Moderately Safe,Yes,Local Traditions
Mizoram,Sunny,Medium,49222,"Bus: 334 INR, Flight: 5031 INR",Local Cuisine: 1821 INR per day,Homestay: 4767 INR per night,"Vantawng Falls, Phawngpui National Park","Boating, Wildlife Safari",Low,3.8/5,Summer,Mizo,Very Safe,No,Festival
Assam,Sunny,High,35186,"Flight: 5224 INR, Bus: 745 INR, Car Rental: 1432 INR, Train: 998 INR",Local Cuisine: 1935 INR per day,3-star: 1742 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Cultural Tours, Boating",Moderate,4.4/5,Summer,Assamese,Moderately Safe,Yes,Festival
Nagaland,Pleasant,Low,34646,"Car Rental: 2807 INR, Train: 802 INR, Bus: 362 INR",Local Cuisine: 1447 INR per day,Homestay: 3071 INR per night,"Dzükou Valley, Kohima War Cemetery",Cultural Tours,Low,4.5/5,Summer,"English, Nagamese",Very Safe,No,Art Exhibitions
Nagaland,Chilly,Medium,30180,"Train: 1505 INR, Bus: 314 INR",Local Cuisine: 1282 INR per day,Homestay: 1058 INR per night,"Dzükou Valley, Kohima War Cemetery",Boating,Low,3.6/5,Monsoon,"English, Nagamese",Moderately Safe,Yes,Local Traditions
Arunachal Pradesh,Rainy,High,36919,"Train: 1573 INR, Car Rental: 1396 INR, Bus: 210 INR, Flight: 3640 INR",Local Cuisine: 1748 INR per day,Luxury Resort: 3705 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, River Rafting, Trekking",High,4.5/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Local Traditions
Mizoram,Rainy,Medium,17675,"Bus: 564 INR, Car Rental: 2663 INR, Flight: 5686 INR",Local Cuisine: 1842 INR per day,3-star: 4090 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Trekking",Low,4.0/5,Summer,Mizo,Safe for Solo Travelers,No,Art Exhibitions
Manipur,Rainy,Medium,6466,"Train: 1621 INR, Flight: 3343 INR",Local Cuisine: 1480 INR per day,Luxury Resort: 3849 INR per night,"Loktak Lake, Kangla Fort",River Rafting,Low,4.0/5,Summer,Manipuri,Safe for Solo Travelers,No,Local Traditions
Meghalaya,Sunny,High,29856,"Train: 999 INR, Bus: 950 INR",Local Cuisine: 612 INR per day,Luxury Resort: 2884 INR per night,"Cherrapunji, Living Root Bridges","River Rafting, Cultural Tours, Boating",Moderate,4.7/5,Summer,"Khasi, Garo",Very Safe,No,Festival
Meghalaya,Chilly,High,46621,"Train: 1952 INR, Car Rental: 2353 INR, Bus: 856 INR",Local Cuisine: 1349 INR per day,Luxury Resort: 4069 INR per night,"Cherrapunji, Living Root Bridges",Wildlife Safari,Low,3.7/5,Summer,"Khasi, Garo",Very Safe,No,Art Exhibitions
Tripura,Pleasant,Medium,15922,"Flight: 5486 INR, Bus: 439 INR, Car Rental: 1339 INR, Train: 1993 INR",Local Cuisine: 2000 INR per day,Homestay: 4273 INR per night,"Neermahal, Ujjayanta Palace","Trekking, River Rafting, Cultural Tours",Low,4.9/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,No,Local Traditions
Nagaland,Sunny,Low,21272,"Train: 1461 INR, Car Rental: 2152 INR, Bus: 277 INR, Flight: 5274 INR",Local Cuisine: 1530 INR per day,Homestay: 3555 INR per night,"Kohima War Cemetery, Dzükou Valley","Trekking, Wildlife Safari, Cultural Tours",Moderate,4.8/5,Winter,"English, Nagamese",Safe for Solo Travelers,No,Festival
Arunachal Pradesh,Sunny,Low,5555,"Train: 1333 INR, Car Rental: 2773 INR",Local Cuisine: 1603 INR per day,3-star: 3445 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, Boating, River Rafting",Moderate,4.2/5,Monsoon,"Hindi, English",Very Safe,No,Local Traditions
Nagaland,Chilly,Low,24855,"Flight: 5598 INR, Bus: 960 INR",Local Cuisine: 1800 INR per day,3-star: 1904 INR per night,"Dzükou Valley, Kohima War Cemetery",Cultural Tours,Moderate,4.6/5,Summer,"English, Nagamese",Safe for Solo Travelers,Yes,Art Exhibitions
Assam,Rainy,High,14499,"Flight: 3158 INR, Bus: 840 INR, Car Rental: 2996 INR",Local Cuisine: 771 INR per day,3-star: 3078 INR per night,"Kaziranga National Park, Majuli Island",Trekking,Low,4.1/5,Summer,Assamese,Safe for Solo Travelers,Yes,Local Traditions
Manipur,Sunny,High,46104,"Car Rental: 2021 INR, Train: 1864 INR, Flight: 5938 INR",Local Cuisine: 1291 INR per day,Homestay: 1810 INR per night,"Loktak Lake, Kangla Fort","Boating, River Rafting, Wildlife Safari",Low,3.6/5,Summer,Manipuri,Moderately Safe,Yes,Local Traditions
Assam,Pleasant,High,44974,"Flight: 3228 INR, Bus: 750 INR, Car Rental: 1109 INR, Train: 1348 INR",Local Cuisine: 695 INR per day,3-star: 4694 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Boating",Moderate,4.1/5,Monsoon,Assamese,Moderately Safe,Yes,Festival
Tripura,Rainy,Low,17300,"Flight: 5171 INR, Train: 1632 INR, Car Rental: 1460 INR",Local Cuisine: 579 INR per day,3-star: 1171 INR per night,"Neermahal, Ujjayanta Palace",River Rafting,High,4.9/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Local Traditions
Tripura,Chilly,Low,49269,"Flight: 4025 INR, Bus: 936 INR, Car Rental: 1119 INR, Train: 1148 INR",Local Cuisine: 1775 INR per day,3-star: 2611 INR per night,"Ujjayanta Palace, Neermahal","Cultural Tours, Trekking, River Rafting",Moderate,4.6/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Local Traditions
Meghalaya,Pleasant,Medium,13124,"Bus: 732 INR, Car Rental: 2124 INR, Flight: 5744 INR",Local Cuisine: 1087 INR per day,Homestay: 3536 INR per night,"Living Root Bridges, Cherrapunji","Cultural Tours, Boating, River Rafting",Moderate,4.5/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Meghalaya,Sunny,Medium,40212,"Train: 1569 INR, Flight: 4546 INR, Bus: 304 INR",Local Cuisine: 894 INR per day,3-star: 4105 INR per night,"Living Root Bridges, Cherrapunji",Wildlife Safari,Low,4.3/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,Yes,Art Exhibitions
Mizoram,Sunny,Medium,17270,"Flight: 6274 INR, Train: 954 INR, Bus: 569 INR, Car Rental: 1828 INR",Local Cuisine: 893 INR per day,3-star: 2538 INR per night,"Phawngpui National Park, Vantawng Falls","Wildlife Safari, Cultural Tours",Moderate,4.1/5,Summer,Mizo,Very Safe,Yes,Art Exhibitions
Manipur,Rainy,High,47375,"Flight: 6584 INR, Bus: 474 INR, Train: 1238 INR, Car Rental: 1475 INR",Local Cuisine: 1738 INR per day,Luxury Resort: 3895 INR per night,"Kangla Fort, Loktak Lake",River Rafting,Low,4.4/5,Monsoon,Manipuri,Moderately Safe,Yes,Festival
Meghalaya,Pleasant,Medium,5388,"Bus: 914 INR, Flight: 3366 INR, Car Rental: 2314 INR",Local Cuisine: 1549 INR per day,Homestay: 4467 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, Boating, Wildlife Safari",Moderate,4.5/5,Winter,"Khasi, Garo",Very Safe,Yes,Festival
Arunachal Pradesh,Chilly,Low,29216,"Car Rental: 2614 INR, Bus: 826 INR, Flight: 6880 INR, Train: 1210 INR",Local Cuisine: 1963 INR per day,Luxury Resort: 1681 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Trekking, Boating",High,3.9/5,Summer,"Hindi, English",Safe for Solo Travelers,No,Local Traditions
Manipur,Sunny,Low,8813,"Bus: 458 INR, Flight: 4992 INR, Car Rental: 2784 INR, Train: 642 INR",Local Cuisine: 1409 INR per day,3-star: 2035 INR per night,"Loktak Lake, Kangla Fort","Trekking, River Rafting",Low,3.5/5,Summer,Manipuri,Very Safe,No,Festival
Arunachal Pradesh,Sunny,Low,22454,"Car Rental: 2149 INR, Bus: 715 INR, Flight: 6228 INR",Local Cuisine: 1064 INR per day,3-star: 4838 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Cultural Tours",High,3.7/5,Summer,"Hindi, English",Very Safe,No,Local Traditions
Nagaland,Chilly,Low,7803,"Flight: 6070 INR, Car Rental: 1017 INR, Bus: 569 INR",Local Cuisine: 1105 INR per day,3-star: 1604 INR per night,"Dzükou Valley, Kohima War Cemetery",Trekking,Moderate,4.9/5,Summer,"English, Nagamese",Very Safe,No,Local Traditions
Assam,Rainy,Medium,31015,"Flight: 3720 INR, Train: 980 INR, Bus: 292 INR",Local Cuisine: 1335 INR per day,Homestay: 2716 INR per night,"Majuli Island, Kaziranga National Park",Wildlife Safari,Low,4.3/5,Monsoon,Assamese,Safe for Solo Travelers,No,Festival
Tripura,Chilly,High,9815,"Flight: 4463 INR, Car Rental: 1205 INR, Train: 1026 INR",Local Cuisine: 614 INR per day,Homestay: 4697 INR per night,"Neermahal, Ujjayanta Palace","River Rafting, Cultural Tours",Low,4.5/5,Summer,"Bengali, Kokborok",Very Safe,Yes,Festival
Arunachal Pradesh,Chilly,Medium,38319,"Car Rental: 1852 INR, Train: 1504 INR, Flight: 4128 INR, Bus: 746 INR",Local Cuisine: 1371 INR per day,Luxury Resort: 4056 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Cultural Tours, River Rafting",Low,3.7/5,Monsoon,"Hindi, English",Moderately Safe,No,Festival
Manipur,Rainy,High,41990,"Flight: 6209 INR, Bus: 784 INR",Local Cuisine: 1829 INR per day,3-star: 4370 INR per night,"Loktak Lake, Kangla Fort","Trekking, Wildlife Safari, Cultural Tours",Low,4.1/5,Summer,Manipuri,Safe for Solo Travelers,No,Festival
Assam,Sunny,Medium,45180,"Car Rental: 2740 INR, Train: 1563 INR",Local Cuisine: 1946 INR per day,Homestay: 2072 INR per night,"Kaziranga National Park, Majuli Island","Wildlife Safari, Cultural Tours",Moderate,3.8/5,Winter,Assamese,Safe for Solo Travelers,No,Local Traditions
Nagaland,Chilly,Medium,45061,"Flight: 3365 INR, Bus: 252 INR",Local Cuisine: 1978 INR per day,3-star: 2830 INR per night,"Kohima War Cemetery, Dzükou Valley",Trekking,High,4.3/5,Winter,"English, Nagamese",Moderately Safe,Yes,Festival
Arunachal Pradesh,Chilly,Low,43024,"Train: 630 INR, Flight: 6888 INR, Bus: 250 INR",Local Cuisine: 1078 INR per day,Homestay: 1794 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Boating, River Rafting",Low,3.6/5,Summer,"Hindi, English",Moderately Safe,No,Local Traditions
Meghalaya,Pleasant,High,45193,"Car Rental: 2406 INR, Train: 915 INR, Flight: 3187 INR, Bus: 388 INR",Local Cuisine: 1456 INR per day,Luxury Resort: 3419 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Trekking, Cultural Tours",Moderate,4.8/5,Monsoon,"Khasi, Garo",Very Safe,Yes,Local Traditions
Arunachal Pradesh,Rainy,Low,36970,"Bus: 522 INR, Car Rental: 2903 INR, Train: 1114 INR",Local Cuisine: 1201 INR per day,3-star: 3974 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, Wildlife Safari",Moderate,4.6/5,Winter,"Hindi, English",Moderately Safe,Yes,Local Traditions
Manipur,Chilly,Low,32796,"Train: 1054 INR, Bus: 216 INR, Car Rental: 1880 INR, Flight: 5083 INR",Local Cuisine: 1719 INR per day,Homestay: 2443 INR per night,"Loktak Lake, Kangla Fort","Boating, Cultural Tours",Moderate,3.8/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Local Traditions
Arunachal Pradesh,Rainy,High,40613,"Flight: 4155 INR, Train: 1384 INR",Local Cuisine: 710 INR per day,3-star: 1128 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Boating",Low,4.6/5,Winter,"Hindi, English",Moderately Safe,No,Local Traditions
Mizoram,Chilly,High,34861,"Bus: 426 INR, Train: 1533 INR",Local Cuisine: 1142 INR per day,Luxury Resort: 1494 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Cultural Tours",Moderate,4.9/5,Monsoon,Mizo,Very Safe,Yes,Local Traditions
Arunachal Pradesh,Sunny,Medium,47063,"Car Rental: 1394 INR, Bus: 927 INR, Flight: 6829 INR, Train: 636 INR",Local Cuisine: 587 INR per day,Homestay: 3986 INR per night,"Tawang Monastery, Ziro Valley",Trekking,Low,4.1/5,Monsoon,"Hindi, English",Very Safe,Yes,Festival
Manipur,Rainy,High,25671,"Car Rental: 2646 INR, Flight: 6498 INR",Local Cuisine: 1251 INR per day,Luxury Resort: 3788 INR per night,"Loktak Lake, Kangla Fort",Wildlife Safari,High,3.6/5,Winter,Manipuri,Safe for Solo Travelers,No,Festival
Nagaland,Chilly,Low,20970,"Train: 1405 INR, Flight: 3337 INR, Bus: 991 INR, Car Rental: 2182 INR",Local Cuisine: 1773 INR per day,3-star: 1956 INR per night,"Kohima War Cemetery, Dzükou Valley","Wildlife Safari, Cultural Tours, River Rafting",High,5.0/5,Summer,"English, Nagamese",Very Safe,No,Art Exhibitions
Arunachal Pradesh,Pleasant,Low,28214,"Flight: 5212 INR, Car Rental: 1623 INR",Local Cuisine: 1436 INR per day,Luxury Resort: 3019 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, River Rafting",Low,3.8/5,Monsoon,"Hindi, English",Moderately Safe,No,Local Traditions
Arunachal Pradesh,Pleasant,High,37291,"Bus: 626 INR, Car Rental: 1009 INR, Flight: 5814 INR",Local Cuisine: 639 INR per day,Homestay: 1203 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Trekking, Wildlife Safari",High,4.0/5,Summer,"Hindi, English",Moderately Safe,Yes,Art Exhibitions
Manipur,Sunny,High,15337,"Flight: 6311 INR, Train: 1253 INR, Bus: 255 INR",Local Cuisine: 1602 INR per day,Homestay: 2214 INR per night,"Kangla Fort, Loktak Lake",Boating,Moderate,4.2/5,Summer,Manipuri,Safe for Solo Travelers,No,Local Traditions
Arunachal Pradesh,Chilly,Low,42289,"Car Rental: 1200 INR, Bus: 261 INR, Train: 1685 INR, Flight: 3144 INR",Local Cuisine: 1704 INR per day,Homestay: 1587 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Wildlife Safari, Boating",Low,5.0/5,Winter,"Hindi, English",Very Safe,Yes,Local Traditions
Tripura,Sunny,Low,9378,"Flight: 5263 INR, Car Rental: 1851 INR, Train: 1649 INR",Local Cuisine: 1500 INR per day,3-star: 1004 INR per night,"Ujjayanta Palace, Neermahal","Boating, Wildlife Safari",Moderate,4.4/5,Monsoon,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions
Mizoram,Chilly,Medium,20081,"Bus: 593 INR, Flight: 6462 INR, Car Rental: 1779 INR, Train: 1401 INR",Local Cuisine: 1888 INR per day,3-star: 2064 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Trekking, Cultural Tours",High,4.9/5,Monsoon,Mizo,Very Safe,Yes,Art Exhibitions
Nagaland,Chilly,Low,33077,"Bus: 621 INR, Car Rental: 1026 INR",Local Cuisine: 1222 INR per day,3-star: 1304 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, Cultural Tours, River Rafting",High,4.1/5,Winter,"English, Nagamese",Safe for Solo Travelers,No,Festival
Meghalaya,Rainy,Low,14770,"Train: 1599 INR, Bus: 475 INR",Local Cuisine: 1263 INR per day,3-star: 2153 INR per night,"Living Root Bridges, Cherrapunji","Cultural Tours, Trekking",Low,4.6/5,Summer,"Khasi, Garo",Moderately Safe,No,Art Exhibitions
Assam,Chilly,Low,45679,"Flight: 4835 INR, Train: 940 INR",Local Cuisine: 1061 INR per day,3-star: 4668 INR per night,"Kaziranga National Park, Majuli Island","River Rafting, Boating",High,3.6/5,Summer,Assamese,Safe for Solo Travelers,No,Festival
Assam,Chilly,High,17636,"Train: 1972 INR, Car Rental: 2706 INR",Local Cuisine: 1302 INR per day,Homestay: 1156 INR per night,"Majuli Island, Kaziranga National Park","River Rafting, Boating, Wildlife Safari",Moderate,3.7/5,Monsoon,Assamese,Moderately Safe,Yes,Art Exhibitions
Arunachal Pradesh,Sunny,Low,41583,"Car Rental: 1896 INR, Bus: 504 INR, Train: 1975 INR",Local Cuisine: 935 INR per day,3-star: 2588 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Cultural Tours, Wildlife Safari",Low,4.0/5,Winter,"Hindi, English",Moderately Safe,No,Art Exhibitions
Arunachal Pradesh,Pleasant,Low,20015,"Flight: 6008 INR, Train: 1667 INR",Local Cuisine: 1695 INR per day,Luxury Resort: 4089 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Trekking",Moderate,4.7/5,Monsoon,"Hindi, English",Moderately Safe,Yes,Art Exhibitions
Tripura,Chilly,Low,46633,"Bus: 962 INR, Train: 1106 INR, Flight: 5001 INR, Car Rental: 1396 INR",Local Cuisine: 952 INR per day,3-star: 2673 INR per night,"Neermahal, Ujjayanta Palace","Boating, Wildlife Safari",Low,4.2/5,Monsoon,"Bengali, Kokborok",Very Safe,Yes,Art Exhibitions
Manipur,Pleasant,High,23968,"Car Rental: 2013 INR, Train: 1336 INR, Bus: 533 INR",Local Cuisine: 1674 INR per day,Luxury Resort: 1247 INR per night,"Kangla Fort, Loktak Lake","Boating, Wildlife Safari",High,3.6/5,Winter,Manipuri,Very Safe,Yes,Local Traditions
Manipur,Rainy,Low,35647,"Car Rental: 2084 INR, Bus: 337 INR",Local Cuisine: 634 INR per day,Homestay: 2314 INR per night,"Kangla Fort, Loktak Lake","River Rafting, Cultural Tours",Moderate,4.4/5,Winter,Manipuri,Very Safe,Yes,Local Traditions
Meghalaya,Sunny,Medium,19828,"Flight: 3673 INR, Train: 1867 INR, Bus: 309 INR",Local Cuisine: 1184 INR per day,3-star: 1818 INR per night,"Cherrapunji, Living Root Bridges",Cultural Tours,Low,4.7/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Assam,Chilly,Low,18865,"Train: 1895 INR, Flight: 4397 INR, Bus: 566 INR",Local Cuisine: 1393 INR per day,Homestay: 3219 INR per night,"Kaziranga National Park, Majuli Island",Cultural Tours,Moderate,4.7/5,Winter,Assamese,Moderately Safe,No,Local Traditions
Mizoram,Sunny,Low,30991,"Train: 974 INR, Bus: 291 INR, Car Rental: 2036 INR",Local Cuisine: 950 INR per day,3-star: 4819 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Wildlife Safari",Moderate,3.9/5,Summer,Mizo,Moderately Safe,Yes,Festival
Meghalaya,Chilly,Low,26541,"Bus: 292 INR, Car Rental: 1224 INR",Local Cuisine: 1951 INR per day,3-star: 4208 INR per night,"Cherrapunji, Living Root Bridges","Wildlife Safari, River Rafting, Cultural Tours",High,3.9/5,Summer,"Khasi, Garo",Safe for Solo Travelers,Yes,Local Traditions
Mizoram,Rainy,Low,21953,"Car Rental: 2781 INR, Bus: 442 INR, Flight: 4969 INR",Local Cuisine: 747 INR per day,Luxury Resort: 3953 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, River Rafting",Moderate,4.4/5,Winter,Mizo,Very Safe,Yes,Local Traditions
Manipur,Chilly,Low,29462,"Train: 1948 INR, Bus: 990 INR, Car Rental: 1338 INR, Flight: 3875 INR",Local Cuisine: 1274 INR per day,3-star: 1470 INR per night,"Loktak Lake, Kangla Fort","River Rafting, Cultural Tours, Trekking",Moderate,3.6/5,Winter,Manipuri,Moderately Safe,Yes,Local Traditions
Nagaland,Chilly,Medium,22230,"Bus: 980 INR, Car Rental: 1541 INR, Flight: 3297 INR",Local Cuisine: 1124 INR per day,Luxury Resort: 4842 INR per night,"Kohima War Cemetery, Dzükou Valley","Boating, Cultural Tours, Wildlife Safari",Low,4.2/5,Summer,"English, Nagamese",Moderately Safe,Yes,Festival
Nagaland,Pleasant,High,31419,"Train: 1238 INR, Bus: 787 INR, Flight: 6632 INR",Local Cuisine: 1551 INR per day,Luxury Resort: 3399 INR per night,"Dzükou Valley, Kohima War Cemetery","River Rafting, Wildlife Safari, Cultural Tours",Moderate,4.9/5,Summer,"English, Nagamese",Very Safe,Yes,Local Traditions
Arunachal Pradesh,Pleasant,Medium,39698,"Car Rental: 1834 INR, Flight: 3137 INR, Train: 1165 INR",Local Cuisine: 1437 INR per day,3-star: 1880 INR per night,"Tawang Monastery, Ziro Valley",Wildlife Safari,Low,3.8/5,Summer,"Hindi, English",Moderately Safe,No,Local Traditions
Arunachal Pradesh,Rainy,High,36008,"Bus: 312 INR, Train: 1772 INR",Local Cuisine: 771 INR per day,3-star: 3545 INR per night,"Tawang Monastery, Ziro Valley","River Rafting, Boating, Wildlife Safari",High,3.9/5,Winter,"Hindi, English",Safe for Solo Travelers,No,Festival
Assam,Rainy,High,29521,"Flight: 5050 INR, Train: 1157 INR, Bus: 905 INR",Local Cuisine: 1554 INR per day,Luxury Resort: 1263 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Trekking",High,3.6/5,Summer,Assamese,Moderately Safe,Yes,Local Traditions
Manipur,Chilly,High,18676,"Bus: 483 INR, Train: 1967 INR",Local Cuisine: 1302 INR per day,Luxury Resort: 2019 INR per night,"Loktak Lake, Kangla Fort","Boating, River Rafting",Low,4.7/5,Winter,Manipuri,Safe for Solo Travelers,Yes,Art Exhibitions
Mizoram,Pleasant,Medium,5932,"Train: 1067 INR, Flight: 4717 INR, Bus: 206 INR, Car Rental: 2160 INR",Local Cuisine: 901 INR per day,Luxury Resort: 3413 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Boating, Trekking",High,4.2/5,Monsoon,Mizo,Safe for Solo Travelers,No,Local Traditions
Manipur,Rainy,Low,11063,"Car Rental: 2552 INR, Train: 1390 INR, Bus: 825 INR",Local Cuisine: 1878 INR per day,Luxury Resort: 3674 INR per night,"Kangla Fort, Loktak Lake","Boating, Trekking",Moderate,3.6/5,Monsoon,Manipuri,Safe for Solo Travelers,Yes,Festival
Tripura,Chilly,High,39381,"Train: 991 INR, Flight: 4237 INR, Car Rental: 2754 INR",Local Cuisine: 1543 INR per day,Luxury Resort: 3679 INR per night,"Neermahal, Ujjayanta Palace","Boating, River Rafting, Wildlife Safari",Low,4.2/5,Monsoon,"Bengali, Kokborok",Moderately Safe,No,Festival
Nagaland,Pleasant,Low,15946,"Car Rental: 1446 INR, Train: 1323 INR, Flight: 3588 INR",Local Cuisine: 1753 INR per day,Luxury Resort: 1598 INR per night,"Kohima War Cemetery, Dzükou Valley",Boating,Low,4.8/5,Winter,"English, Nagamese",Safe for Solo Travelers,No,Art Exhibitions
Arunachal Pradesh,Rainy,High,20255,"Car Rental: 1433 INR, Train: 1369 INR, Bus: 911 INR",Local Cuisine: 1861 INR per day,3-star: 1836 INR per night,"Tawang Monastery, Ziro Valley",Trekking,Low,4.9/5,Winter,"Hindi, English",Very Safe,Yes,Festival
Mizoram,Pleasant,Medium,15375,"Flight: 4927 INR, Car Rental: 2621 INR",Local Cuisine: 971 INR per day,3-star: 3724 INR per night,"Phawngpui National Park, Vantawng Falls",Trekking,Low,4.5/5,Summer,Mizo,Moderately Safe,Yes,Local Traditions
Tripura,Sunny,Medium,29209,"Train: 899 INR, Car Rental: 1750 INR",Local Cuisine: 1089 INR per day,Homestay: 2098 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Wildlife Safari",Moderate,4.1/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,No,Festival
Nagaland,Chilly,High,45253,"Train: 1628 INR, Flight: 6856 INR, Car Rental: 2650 INR",Local Cuisine: 871 INR per day,Luxury Resort: 2770 INR per night,"Kohima War Cemetery, Dzükou Valley","Wildlife Safari, Cultural Tours, River Rafting",Low,3.8/5,Summer,"English, Nagamese",Safe for Solo Travelers,Yes,Local Traditions
